Months,Precipitation (inch),Temperature (F),GrainHeight (inch),NumDeer,NumWolf
   0,  15.08,  30.68,  96.21,   25,    3
   1,  19.08,  50.97,  77.80,   32,    3
   2,  19.67,  55.48,  47.58,   41,    3
   3,  21.51,  56.12,   7.57,   50,    3
   4,  20.98,  77.73,   0.00,   61,    3
   5,  16.63,  76.99,   0.00,   75,    4
   6,  11.59,  85.94,   0.00,   92,    5
   7,  10.88,  65.21,   0.00,  111,    6
   8,   7.24,  68.60,   0.00,  133,    8
   9,   7.47,  52.49,   0.00,  155,   12
  10,  11.50,  44.21,   0.00,  172,   20
  11,  15.17,  42.46,   0.00,  171,   37
  12,  16.66,  47.60,   0.00,  127,   67
  13,  19.86,  37.70,   0.00,   37,   92
  14,  21.60,  53.14,   0.00,    0,   43
  15,  21.84,  73.38,   0.00,    0,    4
  16,  17.43,  69.39,   0.01,    0,    0
  17,  15.87,  84.04,   0.01,    0,    0
  18,  14.47,  81.97,   0.01,    0,    0
  19,  10.22,  83.96,   0.01,    0,    0
  20,  11.13,  60.12,   0.87,    0,    0
  21,  10.22,  59.28,   2.08,    0,    0
  22,   9.05,  48.89,  24.57,    1,    0
  23,  14.99,  43.31,  58.51,    2,    1
  24,  16.30,  36.14,  85.47,    3,    2
  25,  19.15,  51.19,  88.66,    4,    2
  26,  19.90,  49.58,  92.16,    6,    2
  27,  19.46,  62.36,  86.30,    8,    2
  28,  20.83,  73.87,  78.30,   11,    2
  29,  14.80,  87.50,  67.30,   14,    2
  30,  13.47,  87.41,  53.30,   18,    2
  31,  10.03,  74.47,  35.30,   23,    2
  32,   9.18,  74.91,  12.30,   30,    2
  33,   7.57,  50.15,   0.00,   37,    2
  34,   9.05,  54.81,   0.00,   45,    2
  35,  12.98,  40.70,   0.52,   56,    3
  36,  18.21,  36.22,   0.00,   69,    3
  37,  19.10,  46.45,   0.00,   85,    4
  38,  19.00,  63.64,   0.00,  104,    5
  39,  21.88,  70.41,   0.00,  126,    6
  40,  17.74,  80.70,   0.00,  151,    9
  41,  17.31,  69.64,   0.00,  174,   15
  42,  13.97,  86.68,   0.00,  186,   28
  43,  11.66,  78.87,   0.00,  163,   55
  44,  10.76,  75.17,   0.00,   77,   96
  45,   8.43,  49.49,   0.00,    0,   83
  46,  10.81,  42.88,  45.72,    0,    8
  47,  14.83,  42.50,  82.91,    1,    0
  48,  17.92,  38.92, 108.31,    2,    1
  49,  18.90,  41.24, 128.59,    3,    2
  50,  20.67,  55.57, 127.01,    4,    2
  51,  19.51,  60.92, 123.26,    6,    2
  52,  19.53,  67.22, 117.27,    8,    2
  53,  14.69,  85.37, 109.27,   11,    2
  54,  13.44,  80.01,  98.27,   14,    2
  55,  11.75,  83.25,  84.27,   18,    2
  56,  10.77,  66.27,  66.33,   23,    2
  57,  10.57,  57.32,  45.81,   30,    2
  58,   9.61,  39.05,  65.28,   39,    2
  59,  11.97,  44.98,  63.83,   50,    2
  60,  15.65,  32.50,  34.54,   63,    3
  61,  18.90,  35.92,   0.00,   78,    4
  62,  21.63,  45.36,   0.00,   95,    5
  63,  19.76,  73.93,   0.00,  115,    6
  64,  18.51,  67.76,   0.00,  138,    8
  65,  17.16,  87.06,   0.00,  161,   12
  66,  14.17,  72.33,   0.00,  179,   21
  67,  10.31,  71.86,   0.00,  176,   40
  68,   7.79,  65.17,   0.00,  123,   75
  69,  10.59,  56.57,   0.00,   21,  100
  70,  12.58,  47.66,   5.02,    0,   30
  71,  12.04,  41.80,  51.44,    1,    2
