# of Threads,# of Cities,# of Capitals,MegaCityCapitals Per Second
 1 ,  331 ,    2 ,   15.374
 1 ,  331 ,    3 ,   17.839
 1 ,  331 ,    4 ,   21.856
 1 ,  331 ,    5 ,   22.418
 1 ,  331 ,   10 ,   26.026
 1 ,  331 ,   15 ,   30.729
 1 ,  331 ,   20 ,   32.870
 1 ,  331 ,   30 ,   43.669
 1 ,  331 ,   40 ,   39.428
 1 ,  331 ,   50 ,   43.064
 2 ,  331 ,    2 ,    4.809
 2 ,  331 ,    3 ,    8.191
 2 ,  331 ,    4 ,    8.968
 2 ,  331 ,    5 ,   11.100
 2 ,  331 ,   10 ,   22.571
 2 ,  331 ,   15 ,   33.632
 2 ,  331 ,   20 ,   52.301
 2 ,  331 ,   30 ,   42.752
 2 ,  331 ,   40 ,   48.155
 2 ,  331 ,   50 ,   56.325
 4 ,  331 ,    2 ,    3.850
 4 ,  331 ,    3 ,    4.715
 4 ,  331 ,    4 ,    6.725
 4 ,  331 ,    5 ,    7.898
 4 ,  331 ,   10 ,   17.109
 4 ,  331 ,   15 ,   28.502
 4 ,  331 ,   20 ,   36.621
 4 ,  331 ,   30 ,   57.865
 4 ,  331 ,   40 ,   72.429
 4 ,  331 ,   50 ,   84.746
 6 ,  331 ,    2 ,    3.959
 6 ,  331 ,    3 ,    4.535
 6 ,  331 ,    4 ,    5.527
 6 ,  331 ,    5 ,    6.762
 6 ,  331 ,   10 ,   13.889
 6 ,  331 ,   15 ,   21.096
 6 ,  331 ,   20 ,   28.075
 6 ,  331 ,   30 ,   44.721
 6 ,  331 ,   40 ,   62.064
 6 ,  331 ,   50 ,   89.548
 8 ,  331 ,    2 ,    4.285
 8 ,  331 ,    3 ,    4.004
 8 ,  331 ,    4 ,    4.772
 8 ,  331 ,    5 ,    6.038
 8 ,  331 ,   10 ,   11.293
 8 ,  331 ,   15 ,   17.149
 8 ,  331 ,   20 ,   25.455
 8 ,  331 ,   30 ,   38.409
 8 ,  331 ,   40 ,   50.871
 8 ,  331 ,   50 ,   68.265
