ARRAYSIZE,NonSIMD Multi,SIMD Multi,SIMD Multi SpeedUp,NonSIMD Multi/Reduct,SIMD Multi/Reduct,SIMD Multi/Reduct SpeedUp,NonSIMD+1Core Multi,NonSIMD+1Core Multi SpeedUp,SIMD+1Core Multi,SIMD+1Core Multi SpeedUp,NonSIMD+1Core Multi/Reduct,NonSIMD+1Core Multi/Reduct SpeedUp,SIMD+1Core Multi/Reduct,SIMD+1Core Multi/Reduct SpeedUp,NonSIMD+2Core Multi,NonSIMD+2Core Multi SpeedUp,SIMD+2Core Multi,SIMD+2Core Multi SpeedUp,NonSIMD+2Core Multi/Reduct,NonSIMD+2Core Multi/Reduct SpeedUp,SIMD+2Core Multi/Reduct,SIMD+2Core Multi/Reduct SpeedUp,NonSIMD+4Core Multi,NonSIMD+4Core Multi SpeedUp,SIMD+4Core Multi,SIMD+4Core Multi SpeedUp,NonSIMD+4Core Multi/Reduct,NonSIMD+4Core Multi/Reduct SpeedUp,SIMD+4Core Multi/Reduct,SIMD+4Core Multi/Reduct SpeedUp
           4,     41.70,     48.26,  1.16,     40.14,     32.54,  0.81,      2.31,  0.06,      2.34,  0.06,      2.25,  0.06,      2.26,  0.06,      1.19,  0.03,      0.96,  0.02,      1.24,  0.03,      0.94,  0.02,      0.95,  0.02,      0.95,  0.02,      0.95,  0.02,      0.96,  0.02
          40,    102.63,    354.96,  3.46,    105.27,    266.77,  2.53,     19.67,  0.19,     22.91,  0.22,     19.55,  0.19,     22.40,  0.21,      9.82,  0.10,      9.94,  0.10,      9.80,  0.09,     12.89,  0.12,      9.92,  0.10,      9.66,  0.09,      9.99,  0.09,     10.10,  0.10
         400,    122.33,    603.23,  4.93,    130.11,    592.00,  4.55,     81.63,  0.67,    172.84,  1.41,     84.21,  0.65,    170.00,  1.31,     88.69,  0.73,    106.27,  0.87,     89.89,  0.69,    105.37,  0.81,     81.35,  0.67,     92.59,  0.76,     80.45,  0.62,    101.73,  0.78
        1000,    123.76,    649.38,  5.25,    131.88,    643.92,  4.88,    102.84,  0.83,    312.50,  2.53,    107.96,  0.82,    309.88,  2.35,    158.91,  1.28,    212.64,  1.72,    166.30,  1.26,    204.66,  1.55,    173.02,  1.40,    227.83,  1.84,    174.37,  1.32,    232.24,  1.76
        4000,    134.42,    720.87,  5.36,    143.80,    729.94,  5.08,    136.76,  1.02,    602.42,  4.48,    146.17,  1.02,    603.06,  4.19,    231.37,  1.72,    658.74,  4.90,    243.90,  1.70,    711.74,  4.95,    411.40,  3.06,    837.23,  6.23,    417.53,  2.90,    853.45,  5.94
       10000,    132.77,    719.69,  5.42,    143.90,    781.13,  5.43,    140.39,  1.06,    694.69,  5.23,    162.17,  1.13,    745.42,  5.18,    285.71,  2.15,    984.72,  7.42,    288.84,  2.01,   1171.25,  8.14,    479.72,  3.61,   1737.31, 13.09,    484.82,  3.37,   1770.83, 12.31
       40000,    154.36,    816.53,  5.29,    188.37,   1013.59,  5.38,    204.66,  1.33,   1019.09,  6.60,    242.10,  1.29,   1197.07,  6.35,    261.85,  1.70,   1349.90,  8.75,    304.09,  1.61,   1608.15,  8.54,    478.15,  3.10,   2326.82, 15.07,    560.53,  2.98,   2553.79, 13.56
       80000,    174.91,   1001.87,  5.73,    354.68,   1803.70,  5.09,    328.20,  1.88,   1658.10,  9.48,    353.29,  1.00,   1770.39,  4.99,    389.79,  2.23,   2122.60, 12.14,    463.23,  1.31,   2409.15,  6.79,    521.12,  2.98,   2650.76, 15.15,    650.19,  1.83,   3134.33,  8.84
      100000,    184.92,   1058.53,  5.72,    254.93,   1353.33,  5.31,    327.87,  1.77,   1726.52,  9.34,    353.56,  1.39,   1777.59,  6.97,    364.58,  1.97,   1918.17, 10.37,    459.18,  1.80,   2326.00,  9.12,    524.11,  2.83,   2889.67, 15.63,    657.06,  2.58,   3186.84, 12.50
      400000,    328.17,   1755.64,  5.35,    354.12,   1806.51,  5.10,    327.77,  1.00,   1743.78,  5.31,    353.51,  1.00,   1798.88,  5.08,    451.36,  1.38,   2628.06,  8.01,    707.87,  2.00,   3561.07, 10.06,    734.92,  2.24,   4118.31, 12.55,   1014.59,  2.87,   5235.66, 14.78
      800000,    327.97,   1755.55,  5.35,    353.90,   1806.59,  5.10,    327.78,  1.00,   1750.13,  5.34,    353.65,  1.00,   1787.74,  5.05,    655.00,  2.00,   3480.64, 10.61,    706.76,  2.00,   3566.20, 10.08,    891.67,  2.72,   5170.00, 15.76,   1325.19,  3.74,   6596.66, 18.64
     1000000,    327.85,   1736.44,  5.30,    354.02,   1806.35,  5.10,    327.76,  1.00,   1730.94,  5.28,    353.86,  1.00,   1802.86,  5.09,    655.52,  2.00,   3444.60, 10.51,    707.48,  2.00,   3557.95, 10.05,    981.36,  2.99,   6433.85, 19.62,   1326.19,  3.75,   6624.89, 18.71
     2000000,    325.62,    900.86,  2.77,    353.76,   1791.33,  5.06,    326.12,  1.00,   1291.92,  3.97,    353.69,  1.00,   1796.48,  5.08,    646.55,  1.99,   3431.04, 10.54,    690.40,  1.95,   3565.41, 10.08,   1169.77,  3.59,   6154.02, 18.90,   1325.60,  3.75,   6686.01, 18.90
     4000000,    320.82,   1021.55,  3.18,    353.04,   1704.35,  4.83,    320.31,  1.00,   1018.19,  3.17,    352.80,  1.00,   1697.98,  4.81,    603.72,  1.88,   1830.66,  5.71,    707.46,  2.00,   3566.37, 10.10,   1191.85,  3.71,   2206.93,  6.88,   1403.86,  3.98,   7017.08, 19.88
     8000000,    319.67,   1012.26,  3.17,    352.51,   1698.36,  4.82,    319.80,  1.00,   1009.42,  3.16,    352.40,  1.00,   1691.89,  4.80,    618.17,  1.93,   1000.02,  3.13,    703.35,  2.00,   3244.58,  9.20,   1220.53,  3.82,   2385.14,  7.46,   1384.31,  3.93,   4058.41, 11.51
