DATASIZE,LOCALSIZE,MegaXYsProcessedPerSecond,Q,L,C
    1024 ,      8 ,       8.14 ,     1.4 ,     3.6 ,     9.0 
    1024 ,     16 ,       8.91 ,     1.4 ,     3.6 ,     9.0 
    1024 ,     32 ,       8.48 ,     1.4 ,     3.6 ,     9.0 
    1024 ,     64 ,       9.44 ,     1.4 ,     3.6 ,     9.0 
    1024 ,    128 ,       9.71 ,     1.4 ,     3.6 ,     9.0 
    1024 ,    256 ,       8.46 ,     1.4 ,     3.6 ,     9.0 
    2048 ,      8 ,      21.30 ,     1.5 ,     3.6 ,     9.0 
    2048 ,     16 ,      17.21 ,     1.5 ,     3.6 ,     9.0 
    2048 ,     32 ,      17.03 ,     1.5 ,     3.6 ,     9.0 
    2048 ,     64 ,      17.18 ,     1.5 ,     3.6 ,     9.0 
    2048 ,    128 ,      19.53 ,     1.5 ,     3.6 ,     9.0 
    2048 ,    256 ,      17.58 ,     1.5 ,     3.6 ,     9.0 
    4096 ,      8 ,      32.83 ,     1.5 ,     3.5 ,     9.0 
    4096 ,     16 ,      34.61 ,     1.5 ,     3.5 ,     9.0 
    4096 ,     32 ,      34.63 ,     1.5 ,     3.5 ,     9.0 
    4096 ,     64 ,      33.80 ,     1.5 ,     3.5 ,     9.0 
    4096 ,    128 ,      38.79 ,     1.5 ,     3.5 ,     9.0 
    4096 ,    256 ,      38.68 ,     1.5 ,     3.5 ,     9.0 
    8192 ,      8 ,      78.18 ,     1.5 ,     3.5 ,     9.0 
    8192 ,     16 ,      79.06 ,     1.5 ,     3.5 ,     9.0 
    8192 ,     32 ,      66.04 ,     1.5 ,     3.5 ,     9.0 
    8192 ,     64 ,      63.83 ,     1.5 ,     3.5 ,     9.0 
    8192 ,    128 ,      79.47 ,     1.5 ,     3.5 ,     9.0 
    8192 ,    256 ,      82.03 ,     1.5 ,     3.5 ,     9.0 
   16384 ,      8 ,     124.09 ,     1.5 ,     3.5 ,     9.0 
   16384 ,     16 ,     129.26 ,     1.5 ,     3.5 ,     9.0 
   16384 ,     32 ,     139.53 ,     1.5 ,     3.5 ,     9.0 
   16384 ,     64 ,     157.88 ,     1.5 ,     3.5 ,     9.0 
   16384 ,    128 ,     141.22 ,     1.5 ,     3.5 ,     9.0 
   16384 ,    256 ,     150.11 ,     1.5 ,     3.5 ,     9.0 
   32768 ,      8 ,      96.84 ,     1.5 ,     3.5 ,     9.0 
   32768 ,     16 ,      99.15 ,     1.5 ,     3.5 ,     9.0 
   32768 ,     32 ,     112.68 ,     1.5 ,     3.5 ,     9.0 
   32768 ,     64 ,     101.80 ,     1.5 ,     3.5 ,     9.0 
   32768 ,    128 ,     101.23 ,     1.5 ,     3.5 ,     9.0 
   32768 ,    256 ,     113.05 ,     1.5 ,     3.5 ,     9.0 
   65536 ,      8 ,     151.44 ,     1.4 ,     3.5 ,     9.0 
   65536 ,     16 ,     173.25 ,     1.4 ,     3.5 ,     9.0 
   65536 ,     32 ,     138.71 ,     1.4 ,     3.5 ,     9.0 
   65536 ,     64 ,     156.24 ,     1.4 ,     3.5 ,     9.0 
   65536 ,    128 ,     145.33 ,     1.4 ,     3.5 ,     9.0 
   65536 ,    256 ,     146.32 ,     1.4 ,     3.5 ,     9.0 
  131072 ,      8 ,     169.56 ,     1.5 ,     3.5 ,     9.0 
  131072 ,     16 ,     169.49 ,     1.5 ,     3.5 ,     9.0 
  131072 ,     32 ,     166.42 ,     1.5 ,     3.5 ,     9.0 
  131072 ,     64 ,     186.50 ,     1.5 ,     3.5 ,     9.0 
  131072 ,    128 ,     179.57 ,     1.5 ,     3.5 ,     9.0 
  131072 ,    256 ,     183.59 ,     1.5 ,     3.5 ,     9.0 
  262144 ,      8 ,     225.48 ,     1.5 ,     3.5 ,     9.0 
  262144 ,     16 ,     221.17 ,     1.5 ,     3.5 ,     9.0 
  262144 ,     32 ,     224.91 ,     1.5 ,     3.5 ,     9.0 
  262144 ,     64 ,     232.95 ,     1.5 ,     3.5 ,     9.0 
  262144 ,    128 ,     251.60 ,     1.5 ,     3.5 ,     9.0 
  262144 ,    256 ,     255.90 ,     1.5 ,     3.5 ,     9.0 
  524288 ,      8 ,     443.49 ,     1.5 ,     3.5 ,     9.0 
  524288 ,     16 ,     452.77 ,     1.5 ,     3.5 ,     9.0 
  524288 ,     32 ,     440.42 ,     1.5 ,     3.5 ,     9.0 
  524288 ,     64 ,     439.94 ,     1.5 ,     3.5 ,     9.0 
  524288 ,    128 ,     460.20 ,     1.5 ,     3.5 ,     9.0 
  524288 ,    256 ,     483.74 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,      8 ,     759.52 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,     16 ,     782.30 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,     32 ,     968.30 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,     64 ,     943.53 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,    128 ,     824.42 ,     1.5 ,     3.5 ,     9.0 
 1048576 ,    256 ,     795.51 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,      8 ,     947.00 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,     16 ,    1292.17 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,     32 ,    1385.89 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,     64 ,    1478.94 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,    128 ,    1347.94 ,     1.5 ,     3.5 ,     9.0 
 2097152 ,    256 ,    1473.54 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,      8 ,    1254.61 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,     16 ,    1841.95 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,     32 ,    2171.46 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,     64 ,    2073.95 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,    128 ,    2312.48 ,     1.5 ,     3.5 ,     9.0 
 4194304 ,    256 ,    2301.72 ,     1.5 ,     3.5 ,     9.0 
